account_index,address,balance,total_value_usd,yesterday_balance,change_24h,AAVE,ETH,LDO,LINK,SKY,UNI,USDC
200476,0x9E38d7cb386d1Cd66433E685FE3e0B5b46f125A0,0.01,1784716.30,0.01,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00684097
132107,0x6859dA14835424957a1E6B397D8026B1D9fF7e1E,486688.20,1777913.59,486688.20,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00102200
217222,0x839A8de8e0AFf8021A0aec2E42EF1f229ec99235,0.00,1654526.51,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
124639,0xCC475c05E3c27B284ae542b3ef5889c8Edbc5E57,494895.16,1652859.56,494895.16,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00172383
248071,0xa655c5f26C7b14489c9b23A3adF6B7fd0224c859,2.20,1499999.85,2.20,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
508431,0xf70da97812CB96acDF810712Aa562db8dfA3dbEF,0.00,1499818.56,0.00,0,0.00000000,0.94053132,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
366234,0xc4379783c88f812476C726b8D657b8d32Bd0deEF,4202.40,1482403.82,4202.40,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
26348,0x1F793D9f0368c1DA329CB112212d81d521e7A9b8,1043310.40,1469182.98,1043310.40,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
67582,0xf027545f6E5DFd2e70c1b1dfbc517cBE767d04Fd,417976.60,1459580.25,417976.60,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,22051.19579100
1262,0xA87a233e8a7d8951fF790A2e39738086cb5f71b7,447907.15,1448724.05,447907.15,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2999156.41333300
68785,0xd29B816756D7532e378FF6E95666296FA0370Acd,142642.00,1434141.53,142642.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
76889,0x200Db40B0ef10EC2eD23C076e6f460431Acf68a2,67627.80,1409372.51,67627.80,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,10.00000000
6922,0xF2c06f90FB58844C09220e01E3116A2293Df6960,201573.07,1366178.40,201573.07,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,728722.50043651
364611,0x64471d103A7f77262529383D53Bdd28b260B1aE8,301920.00,1342981.60,301920.00,0,0.00000000,701.97210000,0.00000000,0.00000000,0.00000000,0.00000000,0.21178600
64085,0xF14ca6A58d1fb3cC8e35BEd5ffd522d5F66db439,52563.13,1331447.02,52563.13,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,38435.25938783
36864,0x2025137a136BeA7446DEba681CBFc7Cf1970840e,151391.37,1318008.15,151391.37,0,0.00000000,50.00100000,0.00000000,0.00000000,0.00000000,0.00000000,104349.52257900
0,0x0000000000000000000000000000000000000000,386823.90,1299570.18,386823.90,0,0.00054512,17.10712475,0.05431400,0.01435200,0.42104000,0.07884460,353715.39004941
282048,0x45a5aEA03E5a6DBc6F46a708562250C83AFc4fc4,0.00,1272699.16,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00059700
3089,0x349ADbEb3c0C855B3EB7132F3Ed616702e86465c,3778.00,1254012.78,3778.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
636906,0x2438D5FDe0fAf4A0ac60749431eAe2C3453615A9,1079.80,1250599.59,1079.80,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
37448,0x3e57efEf507b4db7aCFa2eE79CeCA6B19e18D106,186204.80,1217928.85,186204.80,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00357504
311042,0x3976F4496B519f6cF0BDc962B4c131D3896aB189,1727.20,1211763.26,1727.20,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
696978,0xef85a9f1Df21884dD5b0591c311243331CAf4ef9,0.00,1209740.38,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
56343,0x92B8EDAEBA4146C5753A398c56218d50a0AB3cC3,252499.80,1200094.77,252499.80,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00096400
194222,0x8Fd589AA8bfA402156a6D1ad323FEC0ECee50D9D,0.00,1195410.18,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,19406.49656800
531576,0x20770ED2CB4B5b5A6929Ab35aC5702862835ace3,3569.40,1174426.11,3569.40,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
76893,0x5a5af1C6d252EAae55492281ca30970044ab5A47,293374.81,1165604.19,293374.81,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00426200
131655,0x6d1A85398e8F9B720c6a8A2fFC85b26E2c5b0c3E,4277943.76,1122479.22,4277943.76,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,271349.01485400
223351,0x728AC133A5c9250a61F7b27AbBe7A823E786FF66,0.00,1105998.39,0.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3914.01120000
68636,0xA46C3A0F36bcb56c48a90b41D8aaB333422F8337,100000.00,1090305.01,100000.00,0,0.00000000,100.00000000,0.00000000,0.00000000,0.00000000,0.00000000,118559.56360100
212705,0x3214732D9d6eddCB9E90dA362D7C45d5caDDBe7e,0.01,1089923.15,0.01,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00094621
118188,0x87Ee6EDD5426aB5e5343b8302e5b51b739ba8D56,100000.01,1074803.91,100000.01,0,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00303900
118232,0xe028e5480B34Ab398d349360Eeef44e90ce9CDDd,100000.01,1073212.19,100000.01,0,0.00000000,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00112500
243398,0x18bbbFecDa870e444F74AFE0DaB9f505ec6B3654,119594.00,1069269.46,119594.00,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
